open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1561813200000,0.025517,0.025567,0.025311,0.025489,16825.304,1561816799999,428.55865832,11017,8647.689,220.29520562,0
1561816800000,0.025489,0.025723000000000003,0.025483,0.025587,16298.821000000002,1561820399999,417.59543575,10522,8380.719000000001,214.73404767,0
1561820400000,0.025587,0.025788,0.025441,0.025669,11028.67,1561823999999,282.35117222,8181,5834.5480000000025,149.3625925,0
1561824000000,0.025671,0.025992,0.025579,0.025858,15799.572,1561827599999,407.61610789,12696,8131.834,209.82884368,0
1561827600000,0.025863,0.026298,0.025851,0.02601,17309.271,1561831199999,450.79358055,12214,9043.492,235.63716084,0
1561831200000,0.02601,0.026143,0.025936,0.026064,13159.242,1561834799999,342.72808143,8909,7303.943,190.20974551,0
1561834800000,0.026056,0.026208,0.02589,0.026069,14005.829,1561838399999,364.33634627,8387,9125.804,237.42288215,0
1561838400000,0.026065,0.026171,0.025646,0.025716000000000003,8533.413,1561841999999,221.30095555,8245,3407.614,88.46545171,0
1561842000000,0.025712,0.026042000000000003,0.025651,0.025962,7724.5369999999975,1561845599999,199.57288987,7136,3811.756,98.42855324,0
1561845600000,0.025963,0.02617,0.025921,0.026094,6865.638000000001,1561849199999,178.82268172,6268,3656.851,95.25892538,0
1561849200000,0.026089,0.027124,0.02608,0.0267,25834.03100000001,1561852799999,690.77588966,17412,10937.196000000002,291.94833184,0
1561852800000,0.026706,0.026975,0.026461,0.026624,21310.562,1561856399999,568.54438366,11120,9244.014,246.52877196,0
1561856400000,0.026627,0.026689,0.026486000000000003,0.026546,11180.553,1561859999999,297.06580376,7401,5671.547,150.687601,0
1561860000000,0.02655,0.026551,0.026381,0.026416,7093.639,1561863599999,187.73324972,5767,3425.789,90.70283281,0
1561863600000,0.026415,0.026468,0.026207,0.026252,8204.666,1561867199999,215.98174782,6432,4267.725,112.34229536,0
1561867200000,0.026251,0.026508,0.02623,0.026462,6607.858,1561870799999,174.29393176,6642,3799.042,100.18331753,0
1561870800000,0.026465,0.026571,0.026286,0.026538,10585.05,1561874399999,279.95177588,8949,5983.456,158.27263453,0
1561874400000,0.026529,0.026598,0.026355,0.026496,9447.639,1561877999999,250.22419765,6947,6070.9230000000025,160.80520123,0
1561878000000,0.026496,0.0266,0.026301,0.026321,15256.98,1561881599999,403.45172537,12163,9194.314,243.21462465,0
1561881600000,0.026326,0.026347,0.026231,0.026259,8025.763000000001,1561885199999,210.96704749,5625,4829.194,126.94593266,0
1561885200000,0.026259,0.02637,0.026181,0.026295,9427.482,1561888799999,247.71743969,6862,4797.522,126.05626553,0
1561888800000,0.026287,0.026423,0.026225,0.026263,19101.478,1561892399999,502.69035896,9763,11201.553,294.84479682,0
1561892400000,0.026259,0.026318,0.026051,0.026162,11546.763,1561895999999,302.62672761,7480,6603.316,173.0945821,0
