open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1535673600000,0.040662,0.041,0.036388,0.040139,190581.698,1535759999999,7654.24704145,132254,105614.508,4247.45325654,0
1535760000000,0.04014,0.041705,0.04012,0.041048,174869.27,1535846399999,7153.935434,150518,94522.114,3866.57412779,0
1535846400000,0.04105,0.041416,0.040012,0.040489,156883.801,1535932799999,6377.50556104,127566,87903.43199999999,3573.53402386,0
1535932800000,0.040477,0.040518,0.039537,0.039799,178750.544,1536019199999,7129.18218431,128563,97340.259,3882.27959386,0
1536019200000,0.039799,0.03995,0.03851,0.038761,187477.69,1536105599999,7351.73489496,149455,102984.785,4037.97026364,0
1536105600000,0.038775,0.038928,0.03392,0.034106,344168.05,1536191999999,12590.75289163,249240,182348.954,6676.0159957,0
1536192000000,0.034098,0.035861000000000004,0.033341,0.035278,355106.32,1536278399999,12445.67917053,221149,192932.374,6762.43898218,0
1536278400000,0.035278,0.035899,0.033513,0.033632,266276.779,1536364799999,9184.55187402,185562,135538.324,4673.68625739,0
1536364800000,0.033632,0.03683,0.030956,0.031833999999999994,271781.063,1536451199999,8954.17674691,175704,146485.93,4839.6014982,0
1536451200000,0.031833999999999994,0.03249,0.030124,0.031362,307184.387,1536537599999,9604.39084138,196271,168769.978,5275.38835291,0
1536537600000,0.031362,0.032111,0.029956,0.03122,289604.692,1536623999999,8971.45426015,155058,137426.082,4268.1390943000015,0
1536624000000,0.031228,0.031436,0.028473,0.029435000000000006,306767.518,1536710399999,9216.61179257,182679,155481.11,4668.45213246,0
1536710400000,0.029422000000000007,0.029433,0.026882,0.028918,400898.733,1536796799999,11202.22459252,226009,226295.467,6320.11017873,0
1536796800000,0.028904000000000006,0.032989,0.028887,0.032504000000000005,406418.787,1536883199999,12496.54035871,215350,219760.453,6753.20252954,0
1536883200000,0.032504000000000005,0.034089,0.03151,0.0322,344382.592,1536969599999,11299.10635633,187181,175236.637,5746.18807055,0
1536969600000,0.032243,0.034720999999999995,0.032105,0.034056,217478.043,1537055999999,7302.28238035,125604,115977.633,3893.57492475,0
1537056000000,0.034013,0.034321,0.032565,0.033862,215014.548,1537142399999,7215.17961597,142335,105031.87,3526.2650812,0
1537142400000,0.033861,0.034432,0.030946,0.031383999999999995,284983.13800000004,1537228799999,9392.15222731,195274,143104.326,4724.37111732,0
1537228800000,0.031383999999999995,0.033638,0.031119,0.032894,247061.004,1537315199999,7997.19664859,162122,132963.59900000002,4301.97100139,0
1537315200000,0.032894,0.033746,0.032241000000000006,0.032816000000000005,217203.21,1537401599999,7154.03017655,139670,114248.254,3764.75021801,0
1537401600000,0.032816000000000005,0.034836,0.03236,0.034522000000000004,235455.02,1537487999999,7782.02101565,160865,129067.21,4262.26639164,0
1537488000000,0.034549,0.0372,0.033402,0.036658,409984.208,1537574399999,14235.46462651,256756,227814.308,7894.96850907,0
1537574400000,0.036657,0.037512,0.035123,0.035849,222334.661,1537660799999,8004.65429705,121533,122506.719,4417.99179067,0
1537660800000,0.035849,0.036816,0.0354,0.036461,176995.878,1537747199999,6395.69204737,121835,102693.287,3710.04430412,0
1537747200000,0.036442,0.036597000000000005,0.034302,0.034631,190414.077,1537833599999,6749.68681309,131352,102037.717,3618.366191800001,0
1537833600000,0.034631,0.03467,0.031994,0.034064,297526.658,1537919999999,9906.05544679,197963,159074.489,5294.43890374,0
1537920000000,0.034065,0.034143,0.032479,0.033154,234835.34,1538006399999,7812.165291600001,157623,125670.266,4179.76472462,0
1538006400000,0.033154,0.034730000000000004,0.032644,0.034253,214927.273,1538092799999,7219.46363255,143943,116704.101,3922.15828368,0
1538092800000,0.034241,0.034573,0.032815,0.033445,230903.126,1538179199999,7807.0086508,144133,122677.143,4148.11884394,0
1538179200000,0.03344,0.035991,0.032923,0.035077,245968.895,1538265599999,8529.53117406,159703,128331.962,4452.38883325,0
1538265600000,0.035106,0.0359,0.0346,0.035177999999999994,184624.784,1538351999999,6519.36725571,121823,93520.824,3299.38345959,0
1538352000000,0.035175,0.03538,0.03449,0.035023,166101.34699999998,1538438399999,5798.98406783,119720,86088.605,3006.0020414,0
1538438400000,0.035012,0.035102,0.03425,0.034556,167738.176,1538524799999,5825.56547823,127401,92199.128,3202.69620544,0
1538524800000,0.034556,0.034631,0.033532,0.033901,172215.52399999998,1538611199999,5845.6345526999985,116673,94774.272,3217.22166213,0
1538611200000,0.033901,0.034304,0.03357,0.033777,161036.799,1538697599999,5475.70500815,92446,90569.627,3079.92672709,0
1538697600000,0.033774,0.034785,0.033460000000000004,0.034408999999999995,184892.63600000003,1538783999999,6267.41457448,108673,101555.121,3441.72137091,0
1538784000000,0.034399,0.0345,0.033995,0.034144,138183.973,1538870399999,4730.49470687,82530,76430.868,2617.22446382,0
1538870400000,0.034144,0.034321,0.033889,0.034227999999999995,122929.65,1538956799999,4189.48995907,79402,70649.481,2408.01488552,0
1538956800000,0.034223,0.03465,0.034003,0.034468,173388.82,1539043199999,5947.5374217,115187,97594.502,3348.53392418,0
1539043200000,0.034481,0.034637,0.034218,0.034317,162576.744,1539129599999,5594.0297448,112819,90413.88,3110.96075718,0
1539129600000,0.034319,0.034414,0.034073,0.034185,204182.053,1539215999999,6997.09362407,149120,118808.189,4071.5878107,0
1539216000000,0.034185,0.034285,0.03048,0.030633,381280.37,1539302399999,12229.64579092,269135,200105.487,6420.45346841,0
1539302400000,0.030633,0.031748,0.030606,0.031288,241722.363,1539388799999,7549.21181967,166086,125066.784,3909.32282922,0
1539388800000,0.031299,0.032027999999999994,0.031251,0.031807,150620.77599999998,1539475199999,4780.26948728,130733,81916.957,2599.5770239,0
1539475200000,0.031807,0.032007,0.03086,0.031059,158085.302,1539561599999,4999.87117676,112544,84608.319,2677.43818635,0
1539561600000,0.031053,0.033435,0.0308,0.031732,436303.83700000006,1539647999999,13853.50925362,268601,229232.417,7274.78843492,0
1539648000000,0.031757,0.032094,0.03136,0.031838,232077.15,1539734399999,7356.61372365,158266,126401.019,4007.76539925,0
1539734400000,0.031838,0.032018,0.0314,0.0316,221946.119,1539820799999,7039.81991467,157999,127088.027,4031.44179457,0
1539820800000,0.0316,0.031749,0.030924,0.031163,216793.623,1539907199999,6805.1948134,148816,122167.607,3836.42330166,0
1539907200000,0.031163,0.031484,0.031039,0.031383,95286.064,1539993599999,2981.17135793,91695,49808.349,1558.30293885,0
1539993600000,0.031387,0.031810000000000005,0.031285,0.03157,95097.179,1540079999999,3003.38664304,97917,51724.74400000001,1633.26123803,0
1540080000000,0.031577999999999995,0.03186,0.0314,0.031494,83821.507,1540166399999,2649.98855718,85856,39652.871,1253.73512218,0
1540166400000,0.031487,0.031603,0.03127,0.031413,114465.28,1540252799999,3598.73821335,103622,53754.664,1690.47678025,0
1540252800000,0.031413,0.031558,0.031063,0.031418,148898.87900000002,1540339199999,4656.22178594,122319,79094.522,2472.78615053,0
1540339200000,0.031418,0.031473,0.03115,0.031273,131064.636,1540425599999,4107.00726111,113406,57344.609,1797.01637216,0
1540425600000,0.031274,0.031329,0.031041000000000006,0.031223,104742.39,1540511999999,3268.32130644,102005,51605.248,1610.59298862,0
1540512000000,0.031216000000000008,0.031695999999999995,0.031118,0.031346,109273.704,1540598399999,3420.93297002,93067,56409.316,1766.1725491999996,0
1540598400000,0.031346,0.031489,0.031298,0.031427,98752.745,1540684799999,3098.86551005,97085,50855.453,1596.04133822,0
1540684800000,0.031423,0.031982,0.03135,0.031616000000000005,103299.688,1540771199999,3255.15634329,81446,51657.542,1628.20366467,0
1540771200000,0.031616000000000005,0.031805,0.030834,0.03104,152062.91,1540857599999,4761.90762297,142477,74569.089,2336.10002083,0
